Player Name,Team Initials,Appearances,Goals,Cards,Tournaments,Attack_Contribution,Goals_Score,Appearances_Score,Attack_Score,Experience_Score,Discipline_Score,Cluster
A.SADEGHI,IRN,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ABALO,TOG,3,0,4,1,0.0,0.0,7.4074074074074066,0.0,0.0,50.0,2.0
ABANDA,CMR,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ABATE,ITA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ABBIATI,ITA,4,0,0,1,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0
ABBONDANZIERI,ARG,5,0,0,1,0.0,0.0,14.814814814814811,0.0,0.0,100.0,0.0
ABDOUN,ALG,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ABDUL RAHIM,IRQ,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ABDULAZIZ MOHAMED,UAE,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ABDULLAH,TUR,7,0,0,1,0.0,0.0,22.22222222222222,0.0,0.0,100.0,0.0
ABDULLAH MUSA,UAE,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ABE,JPN,4,0,1,1,0.0,0.0,11.11111111111111,0.0,0.0,87.5,2.0
ABEL,BRA,7,0,0,1,0.0,0.0,22.22222222222222,0.0,0.0,100.0,0.0
ABEL XAVIER,POR,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ABELARDO,ESP,8,0,2,2,0.0,0.0,25.925925925925924,0.0,25.0,75.0,1.0
ABIDAL,FRA,10,0,3,2,0.0,0.0,33.33333333333333,0.0,25.0,62.5,1.0
ABOU TARIKA,ANG,1,1,0,1,1.0,5.88235294117647,0.0,25.0,0.0,100.0,
ABOUBAKAR,CMR,6,0,0,2,0.0,0.0,18.51851851851852,0.0,25.0,100.0,1.0
ACACIO,BRA,4,0,0,1,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0
ACEVAL,PAR,4,0,0,1,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0
ACHILIER,ECU,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ACIMOVIC,SVN,3,1,0,1,0.3333333333333333,5.88235294117647,7.4074074074074066,8.333333333333332,0.0,100.0,0.0
ACOSTA J.,CRC,5,0,2,1,0.0,0.0,14.814814814814811,0.0,0.0,75.0,2.0
ACQUAH,GHA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ACUA,CHI,4,0,1,1,0.0,0.0,11.11111111111111,0.0,0.0,87.5,2.0
ACUA,CHI,4,0,1,1,0.0,0.0,11.11111111111111,0.0,0.0,87.5,2.0
ACUA,PAR,3,0,1,1,0.0,0.0,7.4074074074074066,0.0,0.0,87.5,2.0
ACUA,PAR,3,0,1,1,0.0,0.0,7.4074074074074066,0.0,0.0,87.5,2.0
ACUNA,PAR,8,0,2,2,0.0,0.0,25.925925925925924,0.0,25.0,75.0,1.0
ADAOZINHO,BRA,6,0,0,1,0.0,0.0,18.51851851851852,0.0,0.0,100.0,0.0
ADDY,GHA,5,0,1,1,0.0,0.0,14.814814814814811,0.0,0.0,87.5,2.0
ADEBAYOR,TOG,3,0,1,1,0.0,0.0,7.4074074074074066,0.0,0.0,87.5,2.0
ADELARDO,ESP,6,1,0,2,0.1666666666666666,5.88235294117647,18.51851851851852,4.166666666666666,25.0,100.0,1.0
ADELEYE,NGA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ADEMIR,BRA,6,8,0,1,1.3333333333333333,47.05882352941176,18.51851851851852,33.33333333333333,0.0,100.0,0.0
ADEMIR DA GUIA,BRA,7,0,0,1,0.0,0.0,22.22222222222222,0.0,0.0,100.0,0.0
ADEPOJU,NGA,7,0,1,2,0.0,0.0,22.22222222222222,0.0,25.0,87.5,1.0
ADIYIAH,GHA,5,0,0,1,0.0,0.0,14.814814814814811,0.0,0.0,100.0,0.0
ADJEI,GHA,4,0,0,1,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0
ADNAN AL TALYANI,UAE,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ADO,BRA,6,0,0,1,0.0,0.0,18.51851851851852,0.0,0.0,100.0,0.0
ADOMAH,GHA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ADRIANO,BRA,5,2,1,1,0.4,11.76470588235294,14.814814814814811,10.0,0.0,87.5,2.0
AFELLAY,NED,7,0,0,1,0.0,0.0,22.22222222222222,0.0,0.0,100.0,0.0
AFOLABI,NGA,6,0,0,2,0.0,0.0,18.51851851851852,0.0,25.0,100.0,1.0
AFONSINHO,BRA,5,0,0,1,0.0,0.0,14.814814814814811,0.0,0.0,100.0,0.0
AGASSA,TOG,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
AGBIM,NGA,4,0,0,1,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0
AGBOH,TOG,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
AGGER,DEN,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
AGHAHOWA,NGA,3,1,0,1,0.3333333333333333,5.88235294117647,7.4074074074074066,8.333333333333332,0.0,100.0,0.0
AGOOS,USA,5,0,1,1,0.0,0.0,14.814814814814811,0.0,0.0,87.5,2.0
AGUERO,ARG,7,0,2,1,0.0,0.0,22.22222222222222,0.0,0.0,75.0,2.0
AGUILAR T.,COL,5,0,0,1,0.0,0.0,14.814814814814811,0.0,0.0,100.0,0.0
AGUILERA,ESP,3,0,1,1,0.0,0.0,7.4074074074074066,0.0,0.0,87.5,2.0
AGUINAGA,ECU,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
AGYEI,GHA,5,0,0,1,0.0,0.0,14.814814814814811,0.0,0.0,100.0,0.0
AHMAD,IRN,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
AHORLU,GHA,5,0,0,1,0.0,0.0,14.814814814814811,0.0,0.0,100.0,0.0
